Увеличение	увеличение	NOUN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
эксперименте	эксперимент	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
влиятельных	влиятельный	ADJ	Case=Gen|Degree=Pos|Number=Plur
ЕКА	ЕКА	PROPN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
ЕКА	ЕКА	PROPN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
получившие	получить	VERB	Aspect=Perf|Case=Nom|Number=Plur|Tense=Past|VerbForm=Part|Voice=Act
террорист	террорист	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
логику	логика	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
Западу	Запад	PROPN	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing
картина	картина	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
системной	системный	ADJ	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing
альпинизме	альпинизм	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
заключения	заключение	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
суверенитета	суверенитет	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
Цукерберга	Цукерберг	PROPN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
I	i	NUM	_
дрожали	дрожать	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act
структуры	структура	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
структуры	структура	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
структуры	структура	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
масках	маска	NOUN	Animacy=Inan|Case=Loc|Gender=Fem|Number=Plur
восточной	восточный	ADJ	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing
узкую	узкий	ADJ	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing
покупатель	покупатель	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
фараонов	фараон	NOUN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur
поставлен	ставить	VERB	Aspect=Perf|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass
отделениях	отделение	NOUN	Animacy=Inan|Case=Loc|Gender=Neut|Number=Plur
юристов	юрист	NOUN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur
1922	1922	NUM	_
пенсию	пенсия	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
идут	идти	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act
действительности	действительность	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
действительности	действительность	NOUN	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
действительности	действительность	NOUN	Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing
факультете	факультет	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
желая	желать	VERB	Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act
прогнозам	прогноз	NOUN	Animacy=Inan|Case=Dat|Gender=Masc|Number=Plur
корма	корм	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
приватизация	приватизация	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
дождя	дождь	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
стенам	стена	NOUN	Animacy=Inan|Case=Dat|Gender=Fem|Number=Plur
Марсу	Марс	PROPN	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing
чиновника	чиновник	NOUN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
знаменитой	знаменитый	ADJ	Case=Loc|Degree=Pos|Gender=Fem|Number=Sing
культур	культура	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur
какой-либо	какой-либо	DET	Case=Gen|Gender=Fem|Number=Sing
автомобильную	автомобильный	ADJ	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing
залов	зал	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur
Политические	политический	ADJ	Case=Nom|Degree=Pos|Number=Plur
прокатки	прокатка	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
бумаг	бумага	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur
академик	академик	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
единственное	единственный	ADJ	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing
единственное	единственный	ADJ	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing
измерений	измерение	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur
сократится	сократиться	VERB	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Mid
состоялось	состояться	VERB	Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
границы	граница	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
границы	граница	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
границы	граница	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
модно	модный	ADJ	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short
письме	письмо	NOUN	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing
спине	спина	NOUN	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
жене	жена	NOUN	Animacy=Anim|Case=Dat|Gender=Fem|Number=Sing
командующий	командующий	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
визит	визит	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
управляется	управлять	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass
прибегает	прибегать	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act
П.	П.	PROPN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
П.	П.	PROPN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
повестка	повестка	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
1964	1964	NUM	_
имен	имя	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur
подтверждена	подтвердить	VERB	Aspect=Perf|Gender=Fem|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass
индексации	индексация	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
страстей	страсть	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur
интересовали	интересовать	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act
тысячами	тысяча	NOUN	Animacy=Inan|Case=Ins|Gender=Fem|Number=Plur
способности	способность	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
способности	способность	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
способности	способность	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
способности	способность	NOUN	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
взятку	взятка	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
ответы	ответ	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur
ответы	ответ	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
Последний	последний	ADJ	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
промышленными	промышленный	ADJ	Case=Ins|Degree=Pos|Number=Plur
возникло	возникнуть	VERB	Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
прекратился	прекратиться	VERB	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
ниже	низкий	ADJ	Degree=Cmp
ниже	низко	ADV	Degree=Cmp
ниже	ниже	ADP	_
ниже	ниже	ADV	Degree=Pos
38	38	NUM	_
традиционных	традиционный	ADJ	Case=Gen|Degree=Pos|Number=Plur
ЕСН	ЕСН	PROPN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
школ	школа	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur
знаменитым	знаменитый	ADJ	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing
лечь	лечь	VERB	Aspect=Perf|VerbForm=Inf|Voice=Mid
Мирового	мировой	ADJ	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing
вдали	вдали	ADV	Degree=Pos
подушки	подушка	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
личные	личный	ADJ	Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur
личные	личный	ADJ	Case=Nom|Degree=Pos|Number=Plur
вечный	вечный	ADJ	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
демагогия	демагогия	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
ступени	ступень	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
ступени	ступень	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
ступени	ступень	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
ступени	ступень	NOUN	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
критериям	критерий	NOUN	Animacy=Inan|Case=Dat|Gender=Masc|Number=Plur
глубоко	глубоко	ADV	Degree=Pos
моими	мой	DET	Case=Ins|Number=Plur
наверняка	наверняка	ADV	Degree=Pos
работающих	работать	VERB	Aspect=Imp|Case=Gen|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act
Южную	Южный	PROPN	_
чемпион	чемпион	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
мясных	мясной	ADJ	Case=Gen|Degree=Pos|Number=Plur
пара	пар	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
пара	пара	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
тьмы	тьма	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
какого-либо	какой-либо	DET	Case=Gen|Gender=Neut|Number=Sing
какого-либо	какой-либо	DET	Case=Gen|Gender=Masc|Number=Sing
Откуда	откуда	ADV	Degree=Pos
продолжительность	продолжительность	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
химики	химик	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur
Менделеева	Менделеев	PROPN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
связанная	связать	VERB	Aspect=Perf|Case=Nom|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass
точки	точка	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
точки	точка	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
точки	точка	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
бизнесе	бизнес	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
Ладно	ладно	PART	_
познакомиться	знакомиться	VERB	Aspect=Perf|VerbForm=Inf|Voice=Mid
москвичей	москвич	NOUN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur
проблемах	проблема	NOUN	Animacy=Inan|Case=Loc|Gender=Fem|Number=Plur
занавес	занавес	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
объяснение	объяснение	NOUN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
объяснение	объяснение	NOUN	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
которые	который	PRON	Case=Nom
которые	который	PRON	Case=Acc
автомата	автомат	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
залог	залог	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
программы	программа	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
программы	программа	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
программы	программа	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
объявили	объявить	VERB	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act
вечно	вечно	ADV	Degree=Pos
потребовали	требовать	VERB	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act
игрока	игрок	NOUN	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing
игрока	игрок	NOUN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
углам	угол	NOUN	Animacy=Inan|Case=Dat|Gender=Masc|Number=Plur
месяцев	месяц	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur
Горбачева	Горбачев	PROPN	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
основе	основа	NOUN	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
должность	должность	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
должность	должность	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
поют	петь	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act
годам	год	NOUN	Animacy=Inan|Case=Dat|Gender=Masc|Number=Plur
белая	белый	ADJ	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
вернется	вернуться	VERB	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Mid
мотивом	мотив	NOUN	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing
семян	семя	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur
ящик	ящик	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
ящик	ящик	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
поисках	поиск	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur
водка	водка	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
составы	состав	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
закон	закон	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
закон	закон	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
формированию	формирование	NOUN	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing
некоего	некий	DET	Case=Gen|Gender=Masc|Number=Sing
гипотезы	гипотеза	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
курса	курс	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
1920	1920	NUM	_
Солдаты	солдат	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur
оппозицией	оппозиция	NOUN	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing
